title,field,journal,year,language,links
"The Geography of Repression and Opposition to Autocracy","Political Science","AJPS","2024","","https://osf.io/yehmx/, https://www.socialsciencereproduction.org/reproductions/789/published/index?step=4, https://github.com/pjesscarter/repression-replication, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi"
"The Heterogeneous Tax Pass-Through Under Different Vertical Relationships","Economics","EJ","2025","","https://osf.io/a5py6/"
"The Impact of Presidential Appointment of Judges: Montesquieu or the Federalists?","Economics","AEJ: Applied","2024","","https://osf.io/gesyq/, https://econpapers.repec.org/paper/zbwi4rdps/135.htm"
"The Labor Market Impacts of Universal and Permanent Cash Transfers: Evidence from the Alaska Permanent Fund","Economics","AEJ: Econ Policy","2024","","https://osf.io/qe8gn/, https://econpapers.repec.org/paper/zbwi4rdps/80.htm, https://osf.io/6atfw/, https://www.openicpsr.org/openicpsr/project/140121/version/V1/view"
"The Long-Term Effects of Measles Vaccination on Earnings and Employment","Economics","AEJ: Econ Policy","2024","","https://osf.io/jv7kx/, https://econpapers.repec.org/paper/zbwi4rdps/33.htm, https://osf.io/qxjnk/, https://www.openicpsr.org/openicpsr/project/138401/version/V1/view, https://michaelwiebe.com/assets/atwood/atwood_comment.pdf"
"The Long-Run Effects of Sports Club Vouchers for Primary School Children","Economics","AEJ: Econ Policy","2024","","https://osf.io/4bnjt/, https://econpapers.repec.org/paper/zbwi4rdps/46.htm, https://www.openicpsr.org/openicpsr/project/138922/version/V1/view"
"The Macroeconomics Impact of Europe’s Carbon Taxes","Economics","AEJ: Macro","2024","","https://osf.io/q9knf/, https://www.econstor.eu/bitstream/10419/303905/1/I4R-DP167.pdf"
"The Macroeconomics of Sticky Prices with Generalized Hazard Functions","Economics","QJE","","","https://github.com/atyho/Ottawa-Replication-Games-2023/blob/main/Ho_Huynh_Rea_Replication_Report.pdf"
"The Mainstreaming of Marx: Measuring the Effect of the Russian Revolution on Karl Marx’s Influence","Economics","JPE","2024","","https://osf.io/x7amh/"
"The PhD Pipeline Initiative Works: Evidence from a Randomized Intervention to Help Underrepresented Students Prepare for PhDs in Political Science","Political Science","JOP","2024","","https://osf.io/75kqp/"
"The Origin of the State: Land Productivity or Appropriability?","Economics","JPE","2024","","https://osf.io/ekzdg/, https://econpapers.repec.org/paper/zbwi4rdps/82.htm, https://www.journals.uchicago.edu/doi/suppl/10.1086/718372/suppl_file/2018030data.zip"
"The Relative Efficiency of Skilled Labor across Countries","Economics","AER: Insights","2024","","https://osf.io/fge7z/, https://econpapers.repec.org/paper/zbwi4rdps/59.htm, https://www.openicpsr.org/openicpsr/project/146041/version/V1/view"
"The Side Effects of Immunity: Malaria and African Slavery in the United States","Economics","AEJ: Applied","2024","","https://osf.io/728ud/"
"The Morning After: Cabinet Instability and the Purging of Ministers after Failed Coup Attempts in Autocracies","Political Science","JOP","2023","","https://osf.io/sm526/, https://econpapers.repec.org/paper/zbwi4rdps/45.htm, https://doi.org/10.7910/DVN/21HZCC, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GCDJ25"
"The people think what I think: False consensus and unelected elite misperception of public opinion","Political Science","AJPS","2024","","https://osf.io/fz2xs/, https://econpapers.repec.org/paper/zbwi4rdps/171.htm"
"The Political Consequences of Green Policies: Evidence from Italy","Political Science","APSR","2024","","https://osf.io/za5t8/"
"The Wheels of Change: Technology Adoption, Millwrights and the Persistence in Britain'S Industrialisation","Economics","EJ","2024","","https://osf.io/gdne3/, https://osf.io/tws8n/, https://zenodo.org/records/5734954"
"The Common-Probability Auction Puzzle","Economics","AER","2024","","https://osf.io/7bq4s/, https://econpapers.repec.org/paper/zbwi4rdps/74.htm, https://www.openicpsr.org/openicpsr/project/184041/version/V1/view"
"Top of the Batch: Interviews and the Match","Economics","AER: Insights","2024","","https://osf.io/63qe2/"
"UN Peacekeeping and Democratization in Conflict-Affected Countries","Political Science","APSR","2024","","https://osf.io/jakq7/, https://osf.io/tk3pz/"
"Understanding Ethnolinguistic Differences: The Roles of Geography and Trade","Economics","EJ","2024","","https://osf.io/9hwzm/, https://econpapers.repec.org/paper/zbwi4rdps/62.htm, https://osf.io/k3p7g/, https://econpapers.repec.org/paper/zbwi4rdps/63.htm"
"Vulnerability and Clientelism","Economics","AER","2024","","https://osf.io/qmjsh/, https://econpapers.repec.org/paper/zbwi4rdps/83.htm, https://osf.io/q2tw6/, https://econpapers.repec.org/paper/zbwi4rdps/84.htm, https://www.openicpsr.org/openicpsr/project/173341/version/V1/view"
"War, Socialism, and the Rise of Fascism: an Empirical Exploration","Economics","QJE","2024","","https://osf.io/a672c/"
"Wage Cyclicality and Labor Market Sorting","Economics","AER: Insights","2024","","https://osf.io/a8hcg/, https://econpapers.repec.org/paper/zbwi4rdps/78.htm"
"What Makes Anticorruption Punishment Popular? Individual-Level Evidence from China","Political Science","JOP","2024","","https://osf.io/czs6j/, https://econpapers.repec.org/paper/zbwi4rdps/7.htm"
"When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality","Economics","AER","2024","","https://osf.io/vdh2e/, https://econpapers.repec.org/paper/zbwi4rdps/53.htm, https://github.com/e-mcmanus/Okeke23_Replication, https://www.openicpsr.org/openicpsr/project/181581/version/V1/view"
"When Do Männerparteien Elect Women? Radical Right Populist Parties and Strategic Descriptive Representation","Political Science","APSR","2024","","https://osf.io/p4m98/, https://econpapers.repec.org/paper/zbwi4rdps/149.htm, https://econpapers.repec.org/paper/zbwi4rdps/150.htm"
"Who Chooses Commitment? Evidence and Welfare Implications","Economics","Restud","2024","","https://osf.io/752q9/"
"Who Sells During a Crash? Evidence from Tax Return Data on Daily Sales of Stock","Economics","EJ","2023","","https://osf.io/b6s9k/, https://www.dropbox.com/scl/fo/c3ysdlenysq391mugzprm/h?rlkey=riooyohci7i5vwx475r13jaqq&dl=0"
"Winter is Coming: Early-Life Experiences and Politicians' Decisions","Economics","EJ","2024","","https://osf.io/hvwbs/"
"Within-Firm Productivity Dispersion: Estimates and Implications","Economics","JPE","2025","","https://osf.io/qyz4t/, https://econpapers.repec.org/paper/zbwi4rdps/181.htm, https://econpapers.repec.org/paper/zbwi4rdps/182.htm"
"Why Don't Firms Hire Young Workers During Recessions?","Economics","EJ","2024","","https://osf.io/3pqbt/, https://github.com/jcrechet/replication"
"Worth Your Weight: Experimental Evidence on the Benefits of Obesity in Low-Income Countries","Economics","AER","2024","","https://osf.io/5zfu4/"
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion","Economics","AEJ: Econ Policy","2024","","https://osf.io/j4qyw/, https://econpapers.repec.org/paper/zbwi4rdps/58.htm, https://github.com/karemanyassin/Yellow-Vests-Pessimistic-Beliefs-and-Carbon-Tax-Aversion-2022-A-Comment"
